date,lat,lon,log_CI_cells_mL,bloom
2020-06-02,44.71252556493273,-122.18136631021798,11.816874076260518,1
2020-06-02,44.71252556493273,-122.1848082957529,11.816874076260518,1
2020-06-02,44.71252556493273,-122.24332204984653,0.0,0
2020-06-02,44.71596755046765,-122.16071439700846,13.115526703416306,1
2020-06-02,44.71596755046765,-122.16415638254338,12.894479032649931,1
2020-06-02,44.71596755046765,-122.1675983680783,12.673431485120043,1
2020-06-02,44.71596755046765,-122.18136631021798,12.590538692567545,1
2020-06-02,44.71596755046765,-122.1848082957529,12.590538692567545,1
2020-06-02,44.71596755046765,-122.24676403538145,0.0,0
2020-06-02,44.719409536002566,-122.15383042593864,0.0,0
2020-06-02,44.719409536002566,-122.15727241147356,0.0,0
2020-06-02,44.719409536002566,-122.16071439700848,0.0,0
